train_base_euler_roll,train_base_euler_pitch,train_base_euler_yaw,train_dof_pos_0,train_target_dof_pos_0,train_dof_pos_1,train_target_dof_pos_1,train_dof_pos_2,train_target_dof_pos_2,train_dof_pos_3,train_target_dof_pos_3,train_dof_pos_4,train_target_dof_pos_4,train_dof_pos_5,train_target_dof_pos_5,train_dof_pos_6,train_target_dof_pos_6,train_dof_pos_7,train_target_dof_pos_7,train_dof_pos_8,train_target_dof_pos_8,train_dof_pos_9,train_target_dof_pos_9,train_dof_pos_10,train_target_dof_pos_10,train_dof_pos_11,train_target_dof_pos_11
-0.010426998138427734,-0.0289459228515625,-0.0020456314086914062,-0.056021902710199356,0.11054302752017975,0.04678281396627426,-0.27712464332580566,0.03355548158288002,0.020722735673189163,0.27101635932922363,-0.5080612897872925,-0.18494389951229095,0.4495278596878052,-0.017714209854602814,0.2380765825510025,-0.14660312235355377,0.12658362090587616,0.06531637907028198,-0.22634603083133698,-0.0785285010933876,-0.015475715510547161,0.28417113423347473,-0.48082786798477173,-0.11329412460327148,0.45753026008605957,0.061284031718969345,1.03916335105896
-0.013486862182617188,-0.044521331787109375,0.005740038584917784,-0.021342100575566292,0.254023939371109,0.045944131910800934,-0.34555742144584656,0.02357192151248455,-0.1852935552597046,0.2330072820186615,-0.32369521260261536,-0.16636109352111816,-0.6367072463035583,-0.03671638295054436,-0.8714815378189087,-0.09618589282035828,0.1910451501607895,0.06733082234859467,0.8544291853904724,-0.08353123813867569,-0.021533269435167313,0.22519347071647644,-0.7940670251846313,-0.08934403210878372,-0.21137423813343048,0.0593067891895771,-0.3727516829967499
-0.010317802429199219,-0.06523704528808594,0.019335128366947174,0.007225372828543186,0.2592051923274994,0.04221011698246002,-0.1787736564874649,0.00979756098240614,-0.16108834743499756,0.22134268283843994,-0.2676106095314026,-0.16300560534000397,-0.5891324281692505,-0.10503395646810532,-1.4244126081466675,0.02638084813952446,0.15809209644794464,0.07142522186040878,0.7239950299263,-0.0734284371137619,-0.025309884920716286,0.03218967467546463,-0.8675726652145386,-0.04142124578356743,-0.09637553989887238,-0.10682570934295654,-0.431256502866745
0.00732166413217783,-0.06940269470214844,0.01336497999727726,0.0003911059466190636,-0.12414006143808365,0.03245391324162483,-0.47718387842178345,0.005366225726902485,0.08875186741352081,0.25874513387680054,-0.04727450758218765,-0.1898772418498993,-0.10401836037635803,-0.3619249761104584,-1.9630805253982544,0.05350024625658989,0.20853811502456665,0.05536575987935066,-0.19667647778987885,-0.06286893784999847,0.07660460472106934,5.483516360982321e-06,-0.8859416246414185,-0.06065875291824341,0.07866045832633972,-0.1236015036702156,-0.27981284260749817
0.03912762179970741,-0.07288551330566406,-0.0029096603393554688,0.005524164531379938,-0.32957661151885986,0.022670866921544075,-0.8105856776237488,-0.004180348943918943,0.11036496609449387,0.27833467721939087,0.15196877717971802,-0.2818656861782074,-0.03148340433835983,-0.5199999809265137,-0.9372568726539612,0.059422120451927185,0.281606525182724,0.023159651085734367,-0.499520480632782,-0.047540124505758286,0.06677260994911194,5.905720854570973e-07,-0.8080636858940125,-0.06712481379508972,-0.0806719958782196,-0.1383264809846878,-0.1850847750902176
0.07621556520462036,-0.05559110641479492,-0.007915019989013672,-0.04663641005754471,-0.3646356761455536,-0.011789578013122082,-0.7289412021636963,0.006163186393678188,0.10314464569091797,0.34431102871894836,0.26039931178092957,-0.29828086495399475,0.05098806321620941,-0.5199999809265137,-0.8950865864753723,0.044008705765008926,0.3431468605995178,-0.019378136843442917,-0.3731689155101776,-0.0450323186814785,0.09060123562812805,-1.3318173159859725e-06,-0.7073251008987427,-0.07406429946422577,-0.08939321339130402,-0.09017237275838852,-0.2140699177980423
0.11172020435333252,-0.03706789016723633,-0.004688739776611328,-0.10889677703380585,-0.26102498173713684,-0.06508664041757584,-0.1061936765909195,0.009564906358718872,0.0029949815943837166,0.40402111411094666,0.1537453532218933,-0.25671908259391785,0.07065887749195099,-0.5199999809265137,-0.50846928358078,0.028105849400162697,0.058966413140296936,-0.06275445222854614,-0.3685839772224426,-0.04928240925073624,-0.04605681076645851,-7.352019110840047e-06,-0.5428128838539124,-0.07298100739717484,-0.1032695472240448,-0.04975901544094086,-0.1806255578994751
0.1351376473903656,-0.01535654067993164,0.0042813788168132305,-0.1641240119934082,-0.20975305140018463,-0.11432593315839767,-0.029539136216044426,0.0014025490963831544,-0.0350993275642395,0.42191311717033386,0.06798392534255981,-0.20465663075447083,0.06361997127532959,-0.5199999809265137,-0.48719704151153564,0.010336988605558872,0.04830776900053024,-0.09245330840349197,-0.3310296833515167,-0.05691878870129585,-0.0899813324213028,-1.1839800208690576e-05,-0.5164676308631897,-0.07583536207675934,-0.06181870028376579,-0.04308067262172699,-0.08825965970754623
0.14608395099639893,0.006361990701407194,0.016967648640275,-0.21074886620044708,-0.1427595019340515,-0.14985567331314087,-0.160373717546463,-0.0021680232603102922,0.004585171118378639,0.4149736762046814,0.05816731974482536,-0.18032163381576538,0.024594053626060486,-0.5199999809265137,-0.5278533697128296,-0.004869797732681036,0.12974204123020172,-0.10766665637493134,-0.3980846405029297,-0.06692690402269363,-0.07519105076789856,-1.2005106327706017e-05,-0.5538440346717834,-0.08897559344768524,-0.006915934383869171,-0.03833289071917534,-0.05483727902173996
0.14750432968139648,0.019885940477252007,0.02849004976451397,-0.2384839802980423,-0.0866069421172142,-0.17496900260448456,-0.25996142625808716,-0.002450187224894762,0.009538883343338966,0.39041998982429504,-0.0004491731524467468,-0.17257794737815857,0.035296350717544556,-0.5199999809265137,-0.5518276691436768,-0.010417564772069454,0.097708560526371,-0.11188860982656479,-0.42365792393684387,-0.07756205648183823,-0.0572860948741436,-8.004960363905411e-06,-0.5867591500282288,-0.09764919430017471,-0.018131863325834274,-0.03521610051393509,-0.05554495006799698
